"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"M72"	"M31"	"Fibroblastic disorders"	"Other necrotizing vasculopathies"	1	125	55	180
"M72"	"M81"	"Fibroblastic disorders"	"Osteoporosis without current pathological fracture"	1	963	245	1208
"M72"	"M99"	"Fibroblastic disorders"	"Biomechanical lesions, not elsewhere classified"	1	166	85	251
"M72"	"N13"	"Fibroblastic disorders"	"Obstructive and reflux uropathy"	1	240	113	353
"M72"	"N17"	"Fibroblastic disorders"	"Acute kidney failure"	1	508	103	611
"M72"	"N28"	"Fibroblastic disorders"	"Oth disorders of kidney and ureter, not elsewhere classified"	1	148	27	175
"M72"	"N39"	"Fibroblastic disorders"	"Other disorders of urinary system"	1	1312	289	1601
"M72"	"N40"	"Fibroblastic disorders"	"Benign prostatic hyperplasia"	1	1068	797	1865
"M75"	"A31"	"Shoulder lesions"	"Infection due to other mycobacteria"	1	41	6	47
"M75"	"A46"	"Shoulder lesions"	"Erysipelas"	1	1530	932	2462
"M75"	"A49"	"Shoulder lesions"	"Bacterial infection of unspecified site"	1	1691	333	2024
"M75"	"B02"	"Shoulder lesions"	"Zoster [herpes zoster]"	1	320	164	484
"M75"	"B95"	"Shoulder lesions"	"Strep as the cause of diseases classified elsewhere"	1	142	42	184
"M75"	"B96"	"Shoulder lesions"	"Oth bacterial agents as the cause of diseases classd elswhr"	1	155	38	193
"M75"	"C06"	"Shoulder lesions"	"Malignant neoplasm of other and unspecified parts of mouth"	1	73	20	93
"M75"	"C10"	"Shoulder lesions"	"Malignant neoplasm of oropharynx"	1	107	19	126
"M75"	"C15"	"Shoulder lesions"	"Malignant neoplasm of esophagus"	1	281	0	281
"M75"	"C22"	"Shoulder lesions"	"Malignant neoplasm of liver and intrahepatic bile ducts"	1	237	0	237
"M75"	"C45"	"Shoulder lesions"	"Mesothelioma"	1	73	4	77
"M75"	"C61"	"Shoulder lesions"	"Malignant neoplasm of prostate"	1	1825	381	2206
"M75"	"C71"	"Shoulder lesions"	"Malignant neoplasm of brain"	1	278	32	310
"M75"	"C79"	"Shoulder lesions"	"Secondary malignant neoplasm of other and unspecified sites"	1	1480	0	1480
"M75"	"C83"	"Shoulder lesions"	"Non-follicular lymphoma"	1	288	94	382
"M75"	"C91"	"Shoulder lesions"	"Lymphoid leukemia"	1	199	77	276
"M75"	"C92"	"Shoulder lesions"	"Myeloid leukemia"	1	186	29	215
"M75"	"D13"	"Shoulder lesions"	"Benign neoplasm of and ill-defined parts of digestive system"	1	397	208	605
"M75"	"D32"	"Shoulder lesions"	"Benign neoplasm of meninges"	1	205	82	287
"M75"	"D35"	"Shoulder lesions"	"Benign neoplasm of other and unspecified endocrine glands"	1	387	136	523
"M75"	"D43"	"Shoulder lesions"	"Neoplasm of uncertain behavior of brain and cnsl"	1	160	44	204
"M75"	"D46"	"Shoulder lesions"	"Myelodysplastic syndromes"	1	162	11	173
"M75"	"D61"	"Shoulder lesions"	"Oth aplastic anemias and other bone marrow failure syndromes"	1	94	29	123
"M75"	"D62"	"Shoulder lesions"	"Acute posthemorrhagic anemia"	1	443	202	645
"M75"	"E03"	"Shoulder lesions"	"Other hypothyroidism"	1	1653	1086	2739
"M75"	"E13"	"Shoulder lesions"	"Other specified diabetes mellitus"	1	256	96	352
"M75"	"E21"	"Shoulder lesions"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	514	180	694
"M75"	"E23"	"Shoulder lesions"	"Hypofunction and other disorders of the pituitary gland"	1	222	85	307
"M75"	"E25"	"Shoulder lesions"	"Adrenogenital disorders"	1	63	13	76
"M75"	"E34"	"Shoulder lesions"	"Other endocrine disorders"	1	272	134	406
"M75"	"E46"	"Shoulder lesions"	"Unspecified protein-calorie malnutrition"	1	65	1	66
"M75"	"E51"	"Shoulder lesions"	"Thiamine deficiency"	1	55	8	63
"M75"	"E55"	"Shoulder lesions"	"Vitamin D deficiency"	1	566	214	780
"M75"	"E61"	"Shoulder lesions"	"Deficiency of other nutrient elements"	1	102	14	116
"M75"	"E64"	"Shoulder lesions"	"Sequelae of malnutrition and other nutritional deficiencies"	1	315	64	379
"M75"	"E78"	"Shoulder lesions"	"Disorders of lipoprotein metabolism and other lipidemias"	1	6313	3980	10293
"M75"	"E83"	"Shoulder lesions"	"Disorders of mineral metabolism"	1	578	96	674
"M75"	"F01"	"Shoulder lesions"	"Vascular dementia"	1	252	0	252
"M75"	"F02"	"Shoulder lesions"	"Dementia in other diseases classified elsewhere"	1	99	2	101
"M75"	"F05"	"Shoulder lesions"	"Delirium due to known physiological condition"	1	620	0	620
"M75"	"G23"	"Shoulder lesions"	"Other degenerative diseases of basal ganglia"	1	84	10	94
"M75"	"G47"	"Shoulder lesions"	"Sleep disorders"	1	4133	1493	5626
"M75"	"G91"	"Shoulder lesions"	"Hydrocephalus"	1	191	56	247
"M75"	"G93"	"Shoulder lesions"	"Other disorders of brain"	1	283	140	423
"M75"	"H26"	"Shoulder lesions"	"Other cataract"	1	2291	1051	3342
"M75"	"H43"	"Shoulder lesions"	"Disorders of vitreous body"	1	957	501	1458
"M75"	"H57"	"Shoulder lesions"	"Other disorders of eye and adnexa"	1	747	396	1143
"M75"	"I10"	"Shoulder lesions"	"Essential (primary) hypertension"	1	12527	9057	21584
"M75"	"I11"	"Shoulder lesions"	"Hypertensive heart disease"	1	482	191	673
"M75"	"I15"	"Shoulder lesions"	"Secondary hypertension"	1	561	376	937
"M75"	"I21"	"Shoulder lesions"	"Acute myocardial infarction"	1	2516	2062	4578
"M75"	"I34"	"Shoulder lesions"	"Nonrheumatic mitral valve disorders"	1	664	257	921
"M75"	"I38"	"Shoulder lesions"	"Endocarditis, valve unspecified"	1	105	24	129
"M75"	"I44"	"Shoulder lesions"	"Atrioventricular and left bundle-branch block"	1	828	246	1074
"M75"	"I48"	"Shoulder lesions"	"Atrial fibrillation and flutter"	1	7782	0	7782
"M75"	"I69"	"Shoulder lesions"	"Sequelae of cerebrovascular disease"	1	2910	928	3838
"M75"	"I71"	"Shoulder lesions"	"Aortic aneurysm and dissection"	1	1219	170	1389
"M75"	"I72"	"Shoulder lesions"	"Other aneurysm"	1	249	100	349
"M75"	"I73"	"Shoulder lesions"	"Other peripheral vascular diseases"	1	2049	894	2943
"M75"	"I74"	"Shoulder lesions"	"Arterial embolism and thrombosis"	1	262	156	418
"M75"	"I87"	"Shoulder lesions"	"Other disorders of veins"	1	344	159	503
"M75"	"I89"	"Shoulder lesions"	"Oth noninfective disorders of lymphatic vessels and nodes"	1	376	196	572
"M75"	"J14"	"Shoulder lesions"	"Pneumonia due to Hemophilus influenzae"	1	100	31	131
"M75"	"J86"	"Shoulder lesions"	"Pyothorax"	1	183	88	271
"M75"	"J90"	"Shoulder lesions"	"Pleural effusion, not elsewhere classified"	1	707	79	786
"M75"	"J91"	"Shoulder lesions"	"Pleural effusion in conditions classified elsewhere"	1	323	58	381
"M75"	"J94"	"Shoulder lesions"	"Other pleural conditions"	1	190	72	262
"M75"	"J95"	"Shoulder lesions"	"Intraop and postproc comp and disorders of resp sys, NEC"	1	173	15	188
"M75"	"J96"	"Shoulder lesions"	"Respiratory failure, not elsewhere classified"	1	2683	0	2683
"M75"	"K31"	"Shoulder lesions"	"Other diseases of stomach and duodenum"	1	314	119	433
"M75"	"K59"	"Shoulder lesions"	"Other functional intestinal disorders"	1	5803	2451	8254
"M75"	"K62"	"Shoulder lesions"	"Other diseases of anus and rectum"	1	2479	2044	4523
"M75"	"K72"	"Shoulder lesions"	"Hepatic failure, not elsewhere classified"	1	290	40	330
"M75"	"K76"	"Shoulder lesions"	"Other diseases of liver"	1	743	448	1191
"M75"	"K83"	"Shoulder lesions"	"Other diseases of biliary tract"	1	461	208	669
"M75"	"K91"	"Shoulder lesions"	"Intraop and postproc comp and disorders of dgstv sys, NEC"	1	268	158	426
"M75"	"K92"	"Shoulder lesions"	"Other diseases of digestive system"	1	1253	713	1966
"M75"	"L30"	"Shoulder lesions"	"Other and unspecified dermatitis"	1	954	713	1667
"M75"	"L82"	"Shoulder lesions"	"Seborrheic keratosis"	1	527	181	708
"M75"	"L98"	"Shoulder lesions"	"Oth disorders of skin, subcu, not elsewhere classified"	1	805	504	1309
"M75"	"M05"	"Shoulder lesions"	"Rheumatoid arthritis with rheumatoid factor"	1	944	589	1533
"M75"	"M06"	"Shoulder lesions"	"Other rheumatoid arthritis"	1	1016	767	1783
"M75"	"M07"	"Shoulder lesions"	"Enteropathic arthropathies"	1	534	369	903
"M75"	"M15"	"Shoulder lesions"	"Polyosteoarthritis"	1	1374	1048	2422
"M75"	"M18"	"Shoulder lesions"	"Osteoarthritis of first carpometacarpal joint"	1	1328	781	2109
"M75"	"M19"	"Shoulder lesions"	"Other and unspecified osteoarthritis"	1	17311	16105	33416
"M75"	"M47"	"Shoulder lesions"	"Spondylosis"	1	4871	4031	8902
"M75"	"M48"	"Shoulder lesions"	"Other spondylopathies"	1	3884	1834	5718
"M75"	"M85"	"Shoulder lesions"	"Other disorders of bone density and structure"	1	2967	890	3857
"M75"	"N12"	"Shoulder lesions"	"Tubulo-interstitial nephritis, not spcf as acute or chronic"	1	210	99	309
"M75"	"N13"	"Shoulder lesions"	"Obstructive and reflux uropathy"	1	683	385	1068
"M75"	"N18"	"Shoulder lesions"	"Chronic kidney disease (CKD)"	1	1764	204	1968
"M75"	"O72"	"Shoulder lesions"	"Postpartum hemorrhage"	1	1889	1534	3423
"M76"	"A04"	"Enthesopathies, lower limb, excluding foot"	"Other bacterial intestinal infections"	1	109	40	149
"M76"	"A41"	"Enthesopathies, lower limb, excluding foot"	"Other sepsis"	1	533	44	577
"M76"	"A49"	"Enthesopathies, lower limb, excluding foot"	"Bacterial infection of unspecified site"	1	327	91	418
"M76"	"C16"	"Enthesopathies, lower limb, excluding foot"	"Malignant neoplasm of stomach"	1	51	1	52
"M76"	"C25"	"Enthesopathies, lower limb, excluding foot"	"Malignant neoplasm of pancreas"	1	57	0	57
"M76"	"C61"	"Enthesopathies, lower limb, excluding foot"	"Malignant neoplasm of prostate"	1	223	45	268
"M76"	"C64"	"Enthesopathies, lower limb, excluding foot"	"Malignant neoplasm of kidney, except renal pelvis"	1	54	8	62
"M76"	"C71"	"Enthesopathies, lower limb, excluding foot"	"Malignant neoplasm of brain"	1	55	3	58
"M76"	"C79"	"Enthesopathies, lower limb, excluding foot"	"Secondary malignant neoplasm of other and unspecified sites"	1	190	2	192
"M76"	"C80"	"Enthesopathies, lower limb, excluding foot"	"Malignant neoplasm without specification of site"	1	34	0	34
"M76"	"D12"	"Enthesopathies, lower limb, excluding foot"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	804	225	1029
"M76"	"D62"	"Enthesopathies, lower limb, excluding foot"	"Acute posthemorrhagic anemia"	1	80	27	107
"M76"	"E03"	"Enthesopathies, lower limb, excluding foot"	"Other hypothyroidism"	1	389	207	596
"M76"	"E11"	"Enthesopathies, lower limb, excluding foot"	"Type 2 diabetes mellitus"	1	699	443	1142
"M76"	"E13"	"Enthesopathies, lower limb, excluding foot"	"Other specified diabetes mellitus"	1	43	4	47
"M76"	"E21"	"Enthesopathies, lower limb, excluding foot"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	96	35	131
"M76"	"E66"	"Enthesopathies, lower limb, excluding foot"	"Overweight and obesity"	1	1251	1003	2254
"M76"	"E87"	"Enthesopathies, lower limb, excluding foot"	"Other disorders of fluid, electrolyte and acid-base balance"	1	372	26	398
"M76"	"E89"	"Enthesopathies, lower limb, excluding foot"	"Postproc endocrine and metabolic comp and disorders, NEC"	1	63	15	78
"M76"	"F06"	"Enthesopathies, lower limb, excluding foot"	"Other mental disorders due to known physiological condition"	1	50	0	50
"M76"	"G47"	"Enthesopathies, lower limb, excluding foot"	"Sleep disorders"	1	754	217	971
"M76"	"G93"	"Enthesopathies, lower limb, excluding foot"	"Other disorders of brain"	1	68	20	88
"M76"	"G95"	"Enthesopathies, lower limb, excluding foot"	"Other and unspecified diseases of spinal cord"	1	88	10	98
"M76"	"H25"	"Enthesopathies, lower limb, excluding foot"	"Age-related cataract"	1	1194	496	1690
"M76"	"H26"	"Enthesopathies, lower limb, excluding foot"	"Other cataract"	1	336	176	512
"M76"	"I35"	"Enthesopathies, lower limb, excluding foot"	"Nonrheumatic aortic valve disorders"	1	368	47	415
"M76"	"I42"	"Enthesopathies, lower limb, excluding foot"	"Cardiomyopathy"	1	102	38	140
"M76"	"I44"	"Enthesopathies, lower limb, excluding foot"	"Atrioventricular and left bundle-branch block"	1	120	30	150
"M76"	"I71"	"Enthesopathies, lower limb, excluding foot"	"Aortic aneurysm and dissection"	1	197	22	219
"M76"	"I95"	"Enthesopathies, lower limb, excluding foot"	"Hypotension"	1	151	18	169
"M76"	"J44"	"Enthesopathies, lower limb, excluding foot"	"Other chronic obstructive pulmonary disease"	1	557	270	827
"M76"	"J47"	"Enthesopathies, lower limb, excluding foot"	"Bronchiectasis"	1	56	12	68
"M76"	"J69"	"Enthesopathies, lower limb, excluding foot"	"Pneumonitis due to solids and liquids"	1	51	1	52
"M76"	"J90"	"Enthesopathies, lower limb, excluding foot"	"Pleural effusion, not elsewhere classified"	1	93	5	98
"M76"	"K22"	"Enthesopathies, lower limb, excluding foot"	"Other diseases of esophagus"	1	176	72	248
"M76"	"K70"	"Enthesopathies, lower limb, excluding foot"	"Alcoholic liver disease"	1	90	28	118
"M76"	"K72"	"Enthesopathies, lower limb, excluding foot"	"Hepatic failure, not elsewhere classified"	1	45	5	50
"M76"	"K92"	"Enthesopathies, lower limb, excluding foot"	"Other diseases of digestive system"	1	285	118	403
"M76"	"L89"	"Enthesopathies, lower limb, excluding foot"	"Pressure ulcer"	1	112	3	115
"M76"	"L97"	"Enthesopathies, lower limb, excluding foot"	"Non-pressure chronic ulcer of lower limb, NEC"	1	236	44	280
"M76"	"M80"	"Enthesopathies, lower limb, excluding foot"	"Osteoporosis with current pathological fracture"	1	226	56	282
"M76"	"M81"	"Enthesopathies, lower limb, excluding foot"	"Osteoporosis without current pathological fracture"	1	596	261	857
"M76"	"N17"	"Enthesopathies, lower limb, excluding foot"	"Acute kidney failure"	1	138	2	140
"M76"	"N19"	"Enthesopathies, lower limb, excluding foot"	"Unspecified kidney failure"	1	104	21	125
"M76"	"N28"	"Enthesopathies, lower limb, excluding foot"	"Oth disorders of kidney and ureter, not elsewhere classified"	1	89	18	107
"M76"	"N39"	"Enthesopathies, lower limb, excluding foot"	"Other disorders of urinary system"	1	887	523	1410
"M76"	"N46"	"Enthesopathies, lower limb, excluding foot"	"Male infertility"	1	284	163	447
"M76"	"O72"	"Enthesopathies, lower limb, excluding foot"	"Postpartum hemorrhage"	1	1577	220	1797
"M77"	"A41"	"Other enthesopathies"	"Other sepsis"	1	697	21	718
"M77"	"A46"	"Other enthesopathies"	"Erysipelas"	1	472	226	698
"M77"	"B37"	"Other enthesopathies"	"Candidiasis"	1	177	80	257
"M77"	"C16"	"Other enthesopathies"	"Malignant neoplasm of stomach"	1	45	0	45
"M77"	"C20"	"Other enthesopathies"	"Malignant neoplasm of rectum"	1	94	12	106
"M77"	"C22"	"Other enthesopathies"	"Malignant neoplasm of liver and intrahepatic bile ducts"	1	43	0	43
"M77"	"C34"	"Other enthesopathies"	"Malignant neoplasm of bronchus and lung"	1	403	0	403
"M77"	"C44"	"Other enthesopathies"	"Other and unspecified malignant neoplasm of skin"	1	442	105	547
"M77"	"C64"	"Other enthesopathies"	"Malignant neoplasm of kidney, except renal pelvis"	1	75	11	86
"M77"	"C67"	"Other enthesopathies"	"Malignant neoplasm of bladder"	1	56	8	64
"M77"	"C77"	"Other enthesopathies"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	222	14	236
"M77"	"C78"	"Other enthesopathies"	"Secondary malignant neoplasm of resp and digestive organs"	1	330	0	330
"M77"	"C79"	"Other enthesopathies"	"Secondary malignant neoplasm of other and unspecified sites"	1	232	0	232
"M77"	"C91"	"Other enthesopathies"	"Lymphoid leukemia"	1	60	8	68
"M77"	"D12"	"Other enthesopathies"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	1258	220	1478
"M77"	"D50"	"Other enthesopathies"	"Iron deficiency anemia"	1	282	72	354
"M77"	"D63"	"Other enthesopathies"	"Anemia in chronic diseases classified elsewhere"	1	112	0	112
"M77"	"D64"	"Other enthesopathies"	"Other anemias"	1	700	106	806
"M77"	"E11"	"Other enthesopathies"	"Type 2 diabetes mellitus"	1	1208	503	1711
"M77"	"E13"	"Other enthesopathies"	"Other specified diabetes mellitus"	1	51	7	58
"M77"	"E21"	"Other enthesopathies"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	136	42	178
"M77"	"E27"	"Other enthesopathies"	"Other disorders of adrenal gland"	1	80	11	91
"M77"	"E64"	"Other enthesopathies"	"Sequelae of malnutrition and other nutritional deficiencies"	1	89	11	100
"M77"	"E78"	"Other enthesopathies"	"Disorders of lipoprotein metabolism and other lipidemias"	1	1751	518	2269
"M77"	"E86"	"Other enthesopathies"	"Volume depletion"	1	642	23	665
"M77"	"E89"	"Other enthesopathies"	"Postproc endocrine and metabolic comp and disorders, NEC"	1	81	27	108
"M77"	"F17"	"Other enthesopathies"	"Nicotine dependence"	1	569	143	712
"M77"	"H26"	"Other enthesopathies"	"Other cataract"	1	482	162	644
"M77"	"H36"	"Other enthesopathies"	"Retinal disorders in diseases classified elsewhere"	1	183	92	275
"M77"	"H43"	"Other enthesopathies"	"Disorders of vitreous body"	1	273	89	362
"M77"	"H53"	"Other enthesopathies"	"Visual disturbances"	1	308	146	454
"M77"	"H91"	"Other enthesopathies"	"Other and unspecified hearing loss"	1	1143	645	1788
"M77"	"I10"	"Other enthesopathies"	"Essential (primary) hypertension"	1	3417	1307	4724
"M77"	"I20"	"Other enthesopathies"	"Angina pectoris"	1	1101	810	1911
"M77"	"I25"	"Other enthesopathies"	"Chronic ischemic heart disease"	1	1072	439	1511
"M77"	"I34"	"Other enthesopathies"	"Nonrheumatic mitral valve disorders"	1	151	30	181
"M77"	"I50"	"Other enthesopathies"	"Heart failure"	1	673	126	799
"M77"	"I51"	"Other enthesopathies"	"Complications and ill-defined descriptions of heart disease"	1	124	34	158
"M77"	"I61"	"Other enthesopathies"	"Nontraumatic intracerebral hemorrhage"	1	114	25	139
"M77"	"I63"	"Other enthesopathies"	"Cerebral infarction"	1	677	119	796
"M77"	"I70"	"Other enthesopathies"	"Atherosclerosis"	1	428	207	635
"M77"	"I71"	"Other enthesopathies"	"Aortic aneurysm and dissection"	1	217	11	228
"M77"	"I80"	"Other enthesopathies"	"Phlebitis and thrombophlebitis"	1	550	391	941
"M77"	"I89"	"Other enthesopathies"	"Oth noninfective disorders of lymphatic vessels and nodes"	1	142	52	194
"M77"	"J10"	"Other enthesopathies"	"Influenza due to other identified influenza virus"	1	38	2	40
"M77"	"J15"	"Other enthesopathies"	"Bacterial pneumonia, not elsewhere classified"	1	674	59	733
"M77"	"J44"	"Other enthesopathies"	"Other chronic obstructive pulmonary disease"	1	1049	231	1280
"M77"	"J47"	"Other enthesopathies"	"Bronchiectasis"	1	89	3	92
"M77"	"J69"	"Other enthesopathies"	"Pneumonitis due to solids and liquids"	1	62	0	62
"M77"	"J81"	"Other enthesopathies"	"Pulmonary edema"	1	68	5	73
"M77"	"J91"	"Other enthesopathies"	"Pleural effusion in conditions classified elsewhere"	1	68	6	74
"M77"	"J94"	"Other enthesopathies"	"Other pleural conditions"	1	48	9	57
"M77"	"J96"	"Other enthesopathies"	"Respiratory failure, not elsewhere classified"	1	598	0	598
"M77"	"K05"	"Other enthesopathies"	"Gingivitis and periodontal diseases"	1	131	57	188
"M77"	"K22"	"Other enthesopathies"	"Other diseases of esophagus"	1	200	90	290
"M77"	"K43"	"Other enthesopathies"	"Ventral hernia"	1	310	188	498
"M77"	"K52"	"Other enthesopathies"	"Other and unsp noninfective gastroenteritis and colitis"	1	508	283	791
"M77"	"K55"	"Other enthesopathies"	"Vascular disorders of intestine"	1	63	0	63
"M77"	"K59"	"Other enthesopathies"	"Other functional intestinal disorders"	1	1478	578	2056
"M77"	"K64"	"Other enthesopathies"	"Hemorrhoids and perianal venous thrombosis"	1	834	45	879
"M77"	"K70"	"Other enthesopathies"	"Alcoholic liver disease"	1	160	24	184
"M77"	"K76"	"Other enthesopathies"	"Other diseases of liver"	1	228	90	318
"M77"	"M07"	"Other enthesopathies"	"Enteropathic arthropathies"	1	307	162	469
"M77"	"M47"	"Other enthesopathies"	"Spondylosis"	1	1451	807	2258
"M77"	"M81"	"Other enthesopathies"	"Osteoporosis without current pathological fracture"	1	1082	272	1354
"M77"	"N18"	"Other enthesopathies"	"Chronic kidney disease (CKD)"	1	334	39	373
"M77"	"N39"	"Other enthesopathies"	"Other disorders of urinary system"	1	1295	582	1877
"M77"	"N95"	"Other enthesopathies"	"Menopausal and other perimenopausal disorders"	1	521	261	782
"M77"	"O72"	"Other enthesopathies"	"Postpartum hemorrhage"	1	864	557	1421
"M77"	"Q61"	"Other enthesopathies"	"Cystic kidney disease"	1	92	35	127
"M79"	"A41"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other sepsis"	1	6478	0	6478
"M79"	"A49"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Bacterial infection of unspecified site"	1	2873	899	3772
"M79"	"B37"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Candidiasis"	1	949	583	1532
"M79"	"C14"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Malig neoplasm of sites in the lip, oral cavity and pharynx"	1	45	7	52
"M79"	"C15"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Malignant neoplasm of esophagus"	1	291	13	304
"M79"	"C16"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Malignant neoplasm of stomach"	1	291	28	319
"M79"	"C17"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Malignant neoplasm of small intestine"	1	64	8	72
"M79"	"C44"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other and unspecified malignant neoplasm of skin"	1	1734	790	2524
"M79"	"C64"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Malignant neoplasm of kidney, except renal pelvis"	1	347	154	501
"M79"	"C79"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Secondary malignant neoplasm of other and unspecified sites"	1	1855	344	2199
"M79"	"C80"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Malignant neoplasm without specification of site"	1	362	49	411
"M79"	"D63"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Anemia in chronic diseases classified elsewhere"	1	1045	206	1251
"M79"	"D64"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other anemias"	1	5049	2254	7303
"M79"	"E23"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Hypofunction and other disorders of the pituitary gland"	1	329	156	485
"M79"	"E27"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other disorders of adrenal gland"	1	346	126	472
"M79"	"E34"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other endocrine disorders"	1	395	225	620
"M79"	"E53"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Deficiency of other B group vitamins"	1	388	146	534
"M79"	"E55"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Vitamin D deficiency"	1	1340	680	2020
"M79"	"E64"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Sequelae of malnutrition and other nutritional deficiencies"	1	555	193	748
"M79"	"E89"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Postproc endocrine and metabolic comp and disorders, NEC"	1	340	153	493
"M79"	"F32"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Depressive episode"	1	2672	1791	4463
"M79"	"G12"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Spinal muscular atrophy and related syndromes"	1	154	45	199
"M79"	"G31"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Oth degenerative diseases of nervous system, NEC"	1	337	80	417
"M79"	"G62"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other and unspecified polyneuropathies"	1	2001	1249	3250
"M79"	"G63"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Polyneuropathy in diseases classified elsewhere"	1	322	190	512
"M79"	"H25"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Age-related cataract"	1	6476	5111	11587
"M79"	"H26"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other cataract"	1	1966	1539	3505
"M79"	"H35"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other retinal disorders"	1	2234	1711	3945
"M79"	"H43"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Disorders of vitreous body"	1	828	508	1336
"M79"	"I42"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Cardiomyopathy"	1	676	372	1048
"M79"	"I46"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Cardiac arrest"	1	1360	0	1360
"M79"	"I48"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Atrial fibrillation and flutter"	1	6125	3806	9931
"M79"	"I50"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Heart failure"	1	5045	2748	7793
"M79"	"I61"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Nontraumatic intracerebral hemorrhage"	1	923	350	1273
"M79"	"I63"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Cerebral infarction"	1	3318	1737	5055
"M79"	"I67"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other cerebrovascular diseases"	1	427	219	646
"M79"	"J09"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Influenza due to certain identified influenza viruses"	1	257	11	268
"M79"	"J15"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Bacterial pneumonia, not elsewhere classified"	1	6103	0	6103
"M79"	"J22"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Unspecified acute lower respiratory infection"	1	611	112	723
"M79"	"J43"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Emphysema"	1	479	254	733
"M79"	"J44"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other chronic obstructive pulmonary disease"	1	5172	3325	8497
"M79"	"J69"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Pneumonitis due to solids and liquids"	1	609	68	677
"M79"	"J85"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Abscess of lung and mediastinum"	1	130	53	183
"M79"	"J91"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Pleural effusion in conditions classified elsewhere"	1	389	99	488
"M79"	"J94"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other pleural conditions"	1	272	117	389
"M79"	"J95"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Intraop and postproc comp and disorders of resp sys, NEC"	1	203	38	241
"M79"	"K22"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other diseases of esophagus"	1	1060	573	1633
"M79"	"K63"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other diseases of intestine"	1	857	259	1116
"M79"	"K70"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Alcoholic liver disease"	1	759	418	1177
"M79"	"K72"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Hepatic failure, not elsewhere classified"	1	487	67	554
"M79"	"K76"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other diseases of liver"	1	961	545	1506
"M79"	"K92"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other diseases of digestive system"	1	2446	1408	3854
"M79"	"M07"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Enteropathic arthropathies"	1	874	414	1288
